conf_i	term_i	J_i	E_i (cm-1)	conf_k	term_k	J_k	E_k (cm-1)	D (a.u.)	source
5s2	1S	0	0	5s5p	3P	1	14504	0.151	NIST
5s2	1S	0	0	5s5p	1P	1	21698	5.248	Cooper2018
5s2	1S	0	0	5s6p	1P	1	34098	0.282	TrautmannPhD
5s2	1S	0	0	5s6p	3P	1	33868	0.034	TrautmannPhD
5s2	1S	0	0	4d5p	3P	1	37302	0.043	Ruczkowski2016
5s2	1S	0	0	5s7p	1P	1	38907	0.36056	NIST
5s2	1S	0	0	5s7p	3P	1	39426	0.053	Ruczkowski2016
5s2	1S	0	0	4d5p	1P	1	41172	0.6	NIST
5s2	1S	0	0	5s8p	3P	1	41720	0.033	Ruczkowski2016
5s2	1S	0	0	5s8p	1P	1	42462	0.59161	NIST
5s2	1S	0	0	5s9p	3P	1	42990	0.017	Ruczkowski2016
5s2	1S	0	0	5s9p	1P	1	43328	0.45717	NIST
5s2	1S	0	0	5s10p	3P	1	43761	0.012	Ruczkowski2016
5s2	1S	0	0	5s10p	1P	1	43938	0.34641	NIST
5s2	1S	0	0	5s11p	3P	1	44265	0.009	Ruczkowski2016
5s2	1S	0	0	5s11p	1P	1	44366	0.251	NIST
5s2	1S	0	0	5s12p	1P	1	44676	0.2	NIST
5s2	1S	0	0	5s13p	1P	1	44904	0.16031	NIST
5s2	1S	0	0	5s14p	1P	1	45075	0.13748	NIST
5s2	1S	0	0	5s15p	1P	1	45208	0.11832	NIST
5s2	1S	0	0	5s16p	1P	1	45312	0.1	NIST
5s2	1S	0	0	5s17p	1P	1	45395	0.088882	NIST
5s2	1S	0	0	5s18p	1P	1	45463	0.08124	NIST
5s2	1S	0	0	5s19p	1P	1	45519	0.070711	NIST
5s2	1S	0	0	5s20p	1P	1	45565	0.063325	NIST
5s5p	3P	0	14318	5s6s	3S	1	29039	2.0248	NIST
5s5p	3P	0	14318	5s5d	3D	1	35007	2.3452	NIST
5s5p	3P	0	14318	5p2	3P	1	35400	2.49	NIST
5s5p	3P	0	14318	5s7s	3S	1	37425	0.60828	NIST
5s5p	3P	0	14318	4d2	3P	1	44596	1.7607	NIST
5s5p	3P	1	14504	5s4d	3D	1	18159	2.318	Kestler
5s5p	3P	1	14504	5s4d	3D	2	18218	4.013	Kestler
5s5p	3P	1	14504	5s4d	1D	2	20149	0.190	Cooper2018
5s5p	3P	1	14504	5s6d	3D	1	39685.552	0.98635	Zhou2010
5s5p	3P	1	14504	5s6d	3D	2	39690.488	1.7084	Zhou2010
5s5p	3P	1	14504	5s8s	3S	1	40761.089	0.4788	Zhou2010
5s5p	3P	1	14504	5s7d	3D	1	41864.049	0.6610	Zhou2010
5s5p	3P	1	14504	5s7d	3D	2	41868.969	1.1448	Zhou2010
5s5p	3P	1	14504	5s9s	3S	1	42450.849	0.3235	Zhou2010
5s5p	3P	1	14504	5s8d	3D	1	43066.349	0.4795	Zhou2010
5s5p	3P	1	14504	5s8d	3D	2	43069.959	0.8306	Zhou2010
5s5p	3P	1	14504	5s9d	3D	1	43807.449	0.3712	Zhou2010
5s5p	3P	1	14504	5s9d	3D	2	43807.449	0.6430	Zhou2010
5s5p	3P	1	14504	5s10s	3S	1	43427.249	0.240	Zhou2010
5s5p	3P	1	14504	5s6s	3S	1	29038	3.435	Cooper2018
5s5p	3P	1	14504	5s6s	1S	0	30591	0.045	Cooper2018
5s5p	3P	1	14504	5s5d	1D	2	34727	0.061	Cooper2018
5s5p	3P	1	14504	5s5d	3D	1	35007	2.005	Kestler
5s5p	3P	1	14504	5s5d	3D	2	35022	3.671	Kestler
5s5p	3P	1	14504	5p2	3P	0	35193	2.658	Kestler
5s5p	3P	1	14504	5p2	3P	1	35400	2.363	Kestler
5s5p	3P	1	14504	5p2	3P	2	35674	2.867	Cooper2018
5s5p	3P	1	14504	5p2	1D	2	36961	0.228	Cooper2018
5s5p	3P	1	14504	5p2	1S	0	37160	0.291	Cooper2018
5s5p	3P	1	14504	5s7s	3S	1	37424	0.921	Cooper2018
5s5p	3P	1	14504	5s7s	1S	0	38444	0.250	Ruczkowski2016
5s5p	3P	1	14504	4d2	3P	0	44526	1.68	Ruczkowski2016
5s5p	3P	1	14504	4d2	3P	1	44596	1.72	Ruczkowski2016
5s5p	3P	1	14504	4d2	3P	2	44730	2.21	Ruczkowski2016
5s5p	3P	2	14899	5s6s	3S	1	29039	4.6904	NIST
5s5p	3P	2	14899	5s5d	3D	1	35007	0.4899	NIST
5s5p	3P	2	14899	5s5d	3D	2	35022	1.9698	NIST
5s5p	3P	2	14899	5s5d	3D	3	35045	5.0892	NIST
5s5p	3P	2	14899	5p2	3P	2	35675	5	NIST
5s5p	3P	2	14899	5s7s	3S	1	37425	1.4177	NIST
5s4d	3D	1	18159	4d5p	3F	2	33267	3.3166	NIST
5s4d	3D	1	18159	4d5p	1D	2	33827	1.8166	NIST
5s4d	3D	1	18159	5s6p	3P	0	33853	1.5166	NIST
5s4d	3D	1	18159	5s6p	3P	1	33868	1.1832	NIST
5s4d	3D	1	18159	5s6p	1P	1	34098	0.071414	NIST
5s4d	3D	1	18159	4d5p	3D	1	36264	4	NIST
5s4d	3D	1	18159	4d5p	3D	2	36382	2.498	NIST
5s4d	3D	1	18159	4d5p	3P	1	37303	2.6833	NIST
5s4d	3D	1	18159	4d5p	3P	2	37337	0.8124	NIST
5s4d	3D	1	18159	5s4f	3F	2	38750	2.7258	NIST
5s4d	3D	2	18219	4d5p	3F	2	33267	1.7889	NIST
5s4d	3D	2	18219	4d5p	3F	3	33590	4.3589	NIST
5s4d	3D	2	18219	5s6p	3P	1	33868	2.3238	NIST
5s4d	3D	2	18219	5s6p	3P	2	33973	1.1402	NIST
5s4d	3D	2	18219	4d5p	3D	1	36264	2.6758	NIST
5s4d	3D	2	18219	4d5p	3D	2	36382	4.6904	NIST
5s4d	3D	2	18219	4d5p	3D	3	36559	2.8688	NIST
5s4d	3D	2	18219	4d5p	3P	1	37303	4	NIST
5s4d	3D	2	18219	4d5p	3P	2	37337	2.832	NIST
5s4d	3D	2	18219	5s4f	3F	2	38750	1.4491	NIST
5s4d	3D	2	18219	5s4f	3F	3	38752	3.7417	NIST
5s4d	3D	3	18319	4d5p	3F	3	33590	1.9235	NIST
5s4d	3D	3	18319	4d5p	1D	2	33827	0.99499	NIST
5s4d	3D	3	18319	4d5p	3F	4	33919	5.2915	NIST
5s4d	3D	3	18319	5s6p	3P	2	33973	2.6646	NIST
5s4d	3D	3	18319	4d5p	3D	2	36382	3.0838	NIST
5s4d	3D	3	18319	4d5p	3D	3	36559	6.7082	NIST
5s4d	3D	3	18319	4d5p	3P	2	37337	5.3852	NIST
5s4d	3D	3	18319	5s4f	3F	3	38752	1.3038	NIST
5s4d	3D	3	18319	5s4f	3F	4	38755	4.4721	NIST
5s4d	1D	2	20150	4d5p	3F	2	33267	2.9155	NIST
5s4d	1D	2	20150	4d5p	3F	3	33590	0.84261	NIST
5s4d	1D	2	20150	4d5p	1D	2	33827	6.1644	NIST
5s4d	1D	2	20150	5s6p	3P	1	33868	0.95917	NIST
5s4d	1D	2	20150	5s6p	3P	2	33973	2.3664	NIST
5s4d	1D	2	20150	5s6p	1P	1	34098	2.2583	NIST
5s4d	1D	2	20150	4d5p	3P	2	37337	0.3873	NIST
5s4d	1D	2	20150	4d5p	1F	3	38008	0.42426	NIST
5s4d	1D	2	20150	5s7p	1P	1	38907	1.9494	NIST
5s4d	1D	2	20150	5s4f	1F	3	39539	3.6056	NIST
5s4d	1D	2	20150	4d5p	1P	1	41172	1.8166	NIST
5s4d	1D	2	20150	5s5f	1F	3	41519	2.5884	NIST
5s4d	1D	2	20150	5s8p	1P	1	42462	1.5811	NIST
5s4d	1D	2	20150	5s6f	1F	3	42840	1.8708	NIST
5s4d	1D	2	20150	5s9p	1P	1	43328	1.2247	NIST
5s4d	1D	2	20150	5s7f	1F	3	43656	1.4142	NIST
5s5p	1P	1	21698	5s5d	1D	2	34727	2.7203	NIST
5s5p	1P	1	21698	4d2	1D	2	36961	7.874	NIST
5s5d	1D	2	34727	5s4f	1F	3	39539	10.954	NIST
5s5d	1D	2	34727	4d5p	1P	1	41172	2.0976	NIST
5s5d	1D	2	34727	5s5f	1F	3	41519	2.5884	NIST
